#1 QLearningAgent: 69236 wins, 764 losses. | Share: 0.989086 | #2 SimpleAgent: 764 wins, 69236 losses. | Share: 0.010914 |  | QLearning score: 684720 
num_games: 70000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 69239 wins, 761 losses. | Share: 0.989129 | #2 SimpleAgent: 761 wins, 69239 losses. | Share: 0.010871 |  | QLearning score: 684780 
num_games: 80000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 79051 wins, 949 losses. | Share: 0.988138 | #2 SimpleAgent: 949 wins, 79051 losses. | Share: 0.011863 |  | QLearning score: 781020 
num_games: 80000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 79103 wins, 897 losses. | Share: 0.988788 | #2 SimpleAgent: 897 wins, 79103 losses. | Share: 0.011213 |  | QLearning score: 782060 
num_games: 80000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 79266 wins, 734 losses. | Share: 0.990825 | #2 SimpleAgent: 734 wins, 79266 losses. | Share: 0.009175 |  | QLearning score: 785320 
num_games: 80000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 79372 wins, 628 losses. | Share: 0.992150 | #2 SimpleAgent: 628 wins, 79372 losses. | Share: 0.007850 |  | QLearning score: 787440 
num_games: 90000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 89225 wins, 775 losses. | Share: 0.991389 | #2 SimpleAgent: 775 wins, 89225 losses. | Share: 0.008611 |  | QLearning score: 884500 
num_games: 90000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 89080 wins, 920 losses. | Share: 0.989778 | #2 SimpleAgent: 920 wins, 89080 losses. | Share: 0.010222 |  | QLearning score: 881600 
num_games: 90000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 89170 wins, 830 losses. | Share: 0.990778 | #2 SimpleAgent: 830 wins, 89170 losses. | Share: 0.009222 |  | QLearning score: 883400 
num_games: 90000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 89360 wins, 640 losses. | Share: 0.992889 | #2 SimpleAgent: 640 wins, 89360 losses. | Share: 0.007111 |  | QLearning score: 887200 
num_games: 100000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 98096 wins, 1904 losses. | Share: 0.980960 | #2 SimpleAgent: 1904 wins, 98096 losses. | Share: 0.019040 |  | QLearning score: 961920 
num_games: 100000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 99271 wins, 729 losses. | Share: 0.992710 | #2 SimpleAgent: 729 wins, 99271 losses. | Share: 0.007290 |  | QLearning score: 985420 
num_games: 100000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 99334 wins, 666 losses. | Share: 0.993340 | #2 SimpleAgent: 666 wins, 99334 losses. | Share: 0.006660 |  | QLearning score: 986680 
num_games: 100000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 99324 wins, 676 losses. | Share: 0.993240 | #2 SimpleAgent: 676 wins, 99324 losses. | Share: 0.006760 |  | QLearning score: 986480 
num_games: 10000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 6685 wins, 3315 losses. | Share: 0.668500 | #2 SimpleAgent: 3315 wins, 6685 losses. | Share: 0.331500 |  | QLearning score: 33700 
num_games: 10000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 9274 wins, 726 losses. | Share: 0.927400 | #2 SimpleAgent: 726 wins, 9274 losses. | Share: 0.072600 |  | QLearning score: 85480 
num_games: 10000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 9430 wins, 570 losses. | Share: 0.943000 | #2 SimpleAgent: 570 wins, 9430 losses. | Share: 0.057000 |  | QLearning score: 88600 
num_games: 10000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 9556 wins, 444 losses. | Share: 0.955600 | #2 SimpleAgent: 444 wins, 9556 losses. | Share: 0.044400 |  | QLearning score: 91120 
num_games: 20000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 17919 wins, 2081 losses. | Share: 0.895950 | #2 SimpleAgent: 2081 wins, 17919 losses. | Share: 0.104050 |  | QLearning score: 158380 
num_games: 20000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 18906 wins, 1094 losses. | Share: 0.945300 | #2 SimpleAgent: 1094 wins, 18906 losses. | Share: 0.054700 |  | QLearning score: 178120 
num_games: 20000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 19238 wins, 762 losses. | Share: 0.961900 | #2 SimpleAgent: 762 wins, 19238 losses. | Share: 0.038100 |  | QLearning score: 184760 
num_games: 20000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 19480 wins, 520 losses. | Share: 0.974000 | #2 SimpleAgent: 520 wins, 19480 losses. | Share: 0.026000 |  | QLearning score: 189600 
num_games: 30000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 27691 wins, 2309 losses. | Share: 0.923033 | #2 SimpleAgent: 2309 wins, 27691 losses. | Share: 0.076967 |  | QLearning score: 253820 
num_games: 30000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 29262 wins, 738 losses. | Share: 0.975400 | #2 SimpleAgent: 738 wins, 29262 losses. | Share: 0.024600 |  | QLearning score: 285240 
num_games: 30000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 29285 wins, 715 losses. | Share: 0.976167 | #2 SimpleAgent: 715 wins, 29285 losses. | Share: 0.023833 |  | QLearning score: 285700 
6num_games: 30000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 29101 wins, 899 losses. | Share: 0.970033 | #2 SimpleAgent: 899 wins, 29101 losses. | Share: 0.029967 |  | QLearning score: 282020 
num_games: 40000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 36461 wins, 3539 losses. | Share: 0.911525 | #2 SimpleAgent: 3539 wins, 36461 losses. | Share: 0.088475 |  | QLearning score: 329220 
num_games: 40000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 39144 wins, 856 losses. | Share: 0.978600 | #2 SimpleAgent: 856 wins, 39144 losses. | Share: 0.021400 |  | QLearning score: 382880 
num_games: 40000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 39212 wins, 788 losses. | Share: 0.980300 | #2 SimpleAgent: 788 wins, 39212 losses. | Share: 0.019700 |  | QLearning score: 384240 
num_games: 40000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 39579 wins, 421 losses. | Share: 0.989475 | #2 SimpleAgent: 421 wins, 39579 losses. | Share: 0.010525 |  | QLearning score: 391580 
num_games: 50000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 47364 wins, 2636 losses. | Share: 0.947280 | #2 SimpleAgent: 2636 wins, 47364 losses. | Share: 0.052720 |  | QLearning score: 447280 
num_games: 50000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 48936 wins, 1064 losses. | Share: 0.978720 | #2 SimpleAgent: 1064 wins, 48936 losses. | Share: 0.021280 |  | QLearning score: 478720 
num_games: 50000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 49317 wins, 683 losses. | Share: 0.986340 | #2 SimpleAgent: 683 wins, 49317 losses. | Share: 0.013660 |  | QLearning score: 486340 
num_games: 50000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 49328 wins, 672 losses. | Share: 0.986560 | #2 SimpleAgent: 672 wins, 49328 losses. | Share: 0.013440 |  | QLearning score: 486560 
num_games: 60000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 57891 wins, 2109 losses. | Share: 0.964850 | #2 SimpleAgent: 2109 wins, 57891 losses. | Share: 0.035150 |  | QLearning score: 557820 
num_games: 60000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 58684 wins, 1316 losses. | Share: 0.978067 | #2 SimpleAgent: 1316 wins, 58684 losses. | Share: 0.021933 |  | QLearning score: 573680 
num_games: 60000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 59134 wins, 866 losses. | Share: 0.985567 | #2 SimpleAgent: 866 wins, 59134 losses. | Share: 0.014433 |  | QLearning score: 582680 
num_games: 60000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 59414 wins, 586 losses. | Share: 0.990233 | #2 SimpleAgent: 586 wins, 59414 losses. | Share: 0.009767 |  | QLearning score: 588280 
num_games: 70000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 66036 wins, 3964 losses. | Share: 0.943371 | #2 SimpleAgent: 3964 wins, 66036 losses. | Share: 0.056629 |  | QLearning score: 620720 
num_games: 70000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 69095 wins, 905 losses. | Share: 0.987071 | #2 SimpleAgent: 905 wins, 69095 losses. | Share: 0.012929 |  | QLearning score: 681900 
num_games: 70000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 69486 wins, 514 losses. | Share: 0.992657 | #2 SimpleAgent: 514 wins, 69486 losses. | Share: 0.007343 |  | QLearning score: 689720 
num_games: 70000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 69453 wins, 547 losses. | Share: 0.992186 | #2 SimpleAgent: 547 wins, 69453 losses. | Share: 0.007814 |  | QLearning score: 689060 
num_games: 80000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 77390 wins, 2610 losses. | Share: 0.967375 | #2 SimpleAgent: 2610 wins, 77390 losses. | Share: 0.032625 |  | QLearning score: 747800 
num_games: 80000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 79429 wins, 571 losses. | Share: 0.992863 | #2 SimpleAgent: 571 wins, 79429 losses. | Share: 0.007138 |  | QLearning score: 788580 
num_games: 80000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 79434 wins, 566 losses. | Share: 0.992925 | #2 SimpleAgent: 566 wins, 79434 losses. | Share: 0.007075 |  | QLearning score: 788680 
num_games: 80000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 79218 wins, 782 losses. | Share: 0.990225 | #2 SimpleAgent: 782 wins, 79218 losses. | Share: 0.009775 |  | QLearning score: 784360 
num_games: 90000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 88373 wins, 1627 losses. | Share: 0.981922 | #2 SimpleAgent: 1627 wins, 88373 losses. | Share: 0.018078 |  | QLearning score: 867460 
num_games: 90000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 88355 wins, 1645 losses. | Share: 0.981722 | #2 SimpleAgent: 1645 wins, 88355 losses. | Share: 0.018278 |  | QLearning score: 867100 
num_games: 90000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 89377 wins, 623 losses. | Share: 0.993078 | #2 SimpleAgent: 623 wins, 89377 losses. | Share: 0.006922 |  | QLearning score: 887540 
num_games: 90000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 89382 wins, 618 losses. | Share: 0.993133 | #2 SimpleAgent: 618 wins, 89382 losses. | Share: 0.006867 |  | QLearning score: 887640 
num_games: 100000, alpha: 0.2, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 97462 wins, 2538 losses. | Share: 0.974620 | #2 SimpleAgent: 2538 wins, 97462 losses. | Share: 0.025380 |  | QLearning score: 949240 
num_games: 100000, alpha: 0.4, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 98844 wins, 1156 losses. | Share: 0.988440 | #2 SimpleAgent: 1156 wins, 98844 losses. | Share: 0.011560 |  | QLearning score: 976880 
num_games: 100000, alpha: 0.6, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 98816 wins, 1184 losses. | Share: 0.988160 | #2 SimpleAgent: 1184 wins, 98816 losses. | Share: 0.011840 |  | QLearning score: 976320 
num_games: 100000, alpha: 0.8, gamma: 0.4, epsilon: 0.2
#1 QLearningAgent: 99507 wins, 493 losses. | Share: 0.995070 | #2 SimpleAgent: 493 wins, 99507 losses. | Share: 0.004930 |  | QLearning score: 990140
num_games: 10000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 4667 wins, 5333 losses. | Share: 0.466700 | #2 SimpleAgent: 5333 wins, 4667 losses. | Share: 0.533300 |  | QLearning score: -6660 
num_games: 10000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 7041 wins, 2959 losses. | Share: 0.704100 | #2 SimpleAgent: 2959 wins, 7041 losses. | Share: 0.295900 |  | QLearning score: 40820 
num_games: 10000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 8816 wins, 1184 losses. | Share: 0.881600 | #2 SimpleAgent: 1184 wins, 8816 losses. | Share: 0.118400 |  | QLearning score: 76320 
