num_games: 10000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 7606 wins, 2394 losses. | Share: 0.760600 | #2 RandomAgent: 2394 wins, 7606 losses. | Share: 0.239400 |  | QLearning score: 52120 
num_games: 10000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 7590 wins, 2410 losses. | Share: 0.759000 | #2 RandomAgent: 2410 wins, 7590 losses. | Share: 0.241000 |  | QLearning score: 51800 
num_games: 10000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 7663 wins, 2337 losses. | Share: 0.766300 | #2 RandomAgent: 2337 wins, 7663 losses. | Share: 0.233700 |  | QLearning score: 53260 
num_games: 10000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 7686 wins, 2314 losses. | Share: 0.768600 | #2 RandomAgent: 2314 wins, 7686 losses. | Share: 0.231400 |  | QLearning score: 53720 
num_games: 20000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 15456 wins, 4544 losses. | Share: 0.772800 | #2 RandomAgent: 4544 wins, 15456 losses. | Share: 0.227200 |  | QLearning score: 109120 
num_games: 20000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 15435 wins, 4565 losses. | Share: 0.771750 | #2 RandomAgent: 4565 wins, 15435 losses. | Share: 0.228250 |  | QLearning score: 108700 
num_games: 20000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 15470 wins, 4530 losses. | Share: 0.773500 | #2 RandomAgent: 4530 wins, 15470 losses. | Share: 0.226500 |  | QLearning score: 109400 
num_games: 20000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 15525 wins, 4475 losses. | Share: 0.776250 | #2 RandomAgent: 4475 wins, 15525 losses. | Share: 0.223750 |  | QLearning score: 110500 
num_games: 30000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 23313 wins, 6687 losses. | Share: 0.777100 | #2 RandomAgent: 6687 wins, 23313 losses. | Share: 0.222900 |  | QLearning score: 166260 
num_games: 30000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 23363 wins, 6637 losses. | Share: 0.778767 | #2 RandomAgent: 6637 wins, 23363 losses. | Share: 0.221233 |  | QLearning score: 167260 
num_games: 30000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 23489 wins, 6511 losses. | Share: 0.782967 | #2 RandomAgent: 6511 wins, 23489 losses. | Share: 0.217033 |  | QLearning score: 169780 
num_games: 30000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 23430 wins, 6570 losses. | Share: 0.781000 | #2 RandomAgent: 6570 wins, 23430 losses. | Share: 0.219000 |  | QLearning score: 168600 
num_games: 40000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 31425 wins, 8575 losses. | Share: 0.785625 | #2 RandomAgent: 8575 wins, 31425 losses. | Share: 0.214375 |  | QLearning score: 228500 
num_games: 40000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 31552 wins, 8448 losses. | Share: 0.788800 | #2 RandomAgent: 8448 wins, 31552 losses. | Share: 0.211200 |  | QLearning score: 231040 
num_games: 40000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 31541 wins, 8459 losses. | Share: 0.788525 | #2 RandomAgent: 8459 wins, 31541 losses. | Share: 0.211475 |  | QLearning score: 230820 
num_games: 40000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 31436 wins, 8564 losses. | Share: 0.785900 | #2 RandomAgent: 8564 wins, 31436 losses. | Share: 0.214100 |  | QLearning score: 228720 
num_games: 50000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 39485 wins, 10515 losses. | Share: 0.789700 | #2 RandomAgent: 10515 wins, 39485 losses. | Share: 0.210300 |  | QLearning score: 289700 
num_games: 50000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 39356 wins, 10644 losses. | Share: 0.787120 | #2 RandomAgent: 10644 wins, 39356 losses. | Share: 0.212880 |  | QLearning score: 287120 
num_games: 50000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 39321 wins, 10679 losses. | Share: 0.786420 | #2 RandomAgent: 10679 wins, 39321 losses. | Share: 0.213580 |  | QLearning score: 286420 
num_games: 50000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 39511 wins, 10489 losses. | Share: 0.790220 | #2 RandomAgent: 10489 wins, 39511 losses. | Share: 0.209780 |  | QLearning score: 290220 
num_games: 60000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 47909 wins, 12091 losses. | Share: 0.798483 | #2 RandomAgent: 12091 wins, 47909 losses. | Share: 0.201517 |  | QLearning score: 358180 
num_games: 60000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 47445 wins, 12555 losses. | Share: 0.790750 | #2 RandomAgent: 12555 wins, 47445 losses. | Share: 0.209250 |  | QLearning score: 348900 
num_games: 60000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 47575 wins, 12425 losses. | Share: 0.792917 | #2 RandomAgent: 12425 wins, 47575 losses. | Share: 0.207083 |  | QLearning score: 351500 
num_games: 60000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
